seller-sku	fulfillment-channel-sku	asin	condition-type	Warehouse-Condition-code	Quantity Available
160205065751	X000YEXJ3X	0071738029	NewItem	SELLABLE	0
160205065525	X000YEXGFT	0060565071	NewItem	SELLABLE	0
160204142652	X000YEG2Y1	0963753320	NewItem	SELLABLE	0
160204145840	X000YEHLYB	B0049C0MXK	CollectibleVeryGood	SELLABLE	0
160205065441	X000YEXEL5	0071605126	NewItem	SELLABLE	0
160205065421	X000YEXECJ	0060582545	NewItem	SELLABLE	0
160205065702	X000YEXICF	0071737707	NewItem	SELLABLE	0
160205065824	X000YEXJV5	0060080833	NewItem	SELLABLE	0
160205065844	X000YEXK6T	0022843531	NewItem	SELLABLE	0
160205065939	X000YEXL8V	0043300545	NewItem	SELLABLE	0
160205065639	X000YEXHZ3	0060263954	NewItem	SELLABLE	0
160204142336	X000YEFWLP	B000BXTVBK	CollectibleAcceptable	SELLABLE	0
160205065623	X000YEXHQH	006464135X	NewItem	SELLABLE	0
160205065718	X000YEXIKH	0007176295	NewItem	SELLABLE	0
160205065505	X000YEXFVJ	0061074292	NewItem	SELLABLE	0
160205065515	X000YEXG7H	0022063234	NewItem	SELLABLE	0
160205065954	X000YEXLIV	0060105178	NewItem	SELLABLE	0
160204142733	X000YEG3SB	B0009PUR2M	UsedAcceptable	SELLABLE	0
160205065542	X000YEXGP9	0029172608	NewItem	SELLABLE	0
160204141508	X000YEFJKJ	0134340469	CollectibleAcceptable	SELLABLE	0
160205065501	X000YEXFJL	0070498644	NewItem	SELLABLE	0
160204145914	X000YEHM6X	0001388517	CollectibleVeryGood	SELLABLE	0
160205065549	X000YEXGTZ	0071387730	NewItem	SELLABLE	0
160205065726	X000YEXIPR	0061131016	NewItem	SELLABLE	0
160205065919	X000YEXKTL	0030435994	NewItem	SELLABLE	0
160204143856	X000YEGHA5	6303402348	UsedRefurbished	SELLABLE	0
160204141308	X000YEFGRF	0134340396	CollectibleAcceptable	SELLABLE	0
160205065740	X000YEXIXT	0060929847	NewItem	SELLABLE	0
160204142020	X000YEFS0Z	6303402348	NewItem	SELLABLE	0
160205065840	X000YEXK4B	0020442203	NewItem	SELLABLE	0
160205065712	X000YEXIHZ	0030655269	NewItem	SELLABLE	0
160204150023	X000YEHNZX	1561373060	NewItem	SELLABLE	0
160205065411	X000YEXE8D	0071419888	NewItem	SELLABLE	0
160205065456	X000YEXEZB	0071346945	NewItem	SELLABLE	0
160205065417	X000YEXEAB	0007191650	NewItem	SELLABLE	0
160205065635	X000YEXHX5	0060584084	NewItem	SELLABLE	0
160205065619	X000YEXHOJ	0005005817	NewItem	SELLABLE	0
160205065950	X000YEXLH7	0047860030	NewItem	SELLABLE	0
160205065657	X000YEXI9N	007070015X	NewItem	SELLABLE	0
160205065855	X000YEXKF5	0060903155	NewItem	SELLABLE	0
160205065509	X000YEXG1X	0003047822	NewItem	SELLABLE	0
160205065554	X000YEXH49	0071596402	NewItem	SELLABLE	0
160205065706	X000YEXIFH	0064408639	NewItem	SELLABLE	0
160205065744	X000YEXJ01	0022967052	NewItem	SELLABLE	0
160205065828	X000YEXJXX	0060919833	NewItem	SELLABLE	0
160204141226	X000YEFFVH	0134340515	CollectibleAcceptable	SELLABLE	0
160205065835	X000YEXK1J	0060670568	NewItem	SELLABLE	0
160205065545	X000YEXGS1	0030867355	NewItem	SELLABLE	0
160205065851	X000YEXKB9	0071480374	NewItem	SELLABLE	0
160205065800	X000YEXJ8D	0071494677	NewItem	SELLABLE	0
160205065605	X000YEXHDP	0060565187	NewItem	SELLABLE	0
160205065816	X000YEXJI3	0005170699	NewItem	SELLABLE	0
